MRPS5	MRPS9
MSH2	LSM1
MSH6	CDC42
NHP2	MRI1
PAN2	POM121
PIM1	DDX6
POP7	TGS1
PWP2	RRP12
RFC2	CHL1
RFC5	RB1
RPF1	RPS6
VPS52	ARV1
VPS52	ARV1
VPS52	ARV1
VPS52	ARV1
VPS52	ARV1
VPS52	ARV1
VPS52	ARV1
SEC13	SEC16A
SEC62	GET4
SMC3	SMC1A
SRP54	SRP19
TAF6	MED1
TAF5	ALG5
TAF10	MED1
TAF2	TAF9
VPS29	COMMD4
VPS41	KXD1
VPS45	STX16
VPS53	RABEP1
VPS53	RABEP1
VPS8	RMI1
TSR1	NOB1
EHD3	ORC1
RPF2	RRP12
NOB1	TSR1
TPK1	ECM2
RAD1	MRE11
ATG12	CDC73
RFC4	CD58
CDC20	MAD2L1BP
SKP2	CDKN1B
FPR1	TGS1
EMG1	NFU1
SKP1	FBXW7
RAD50	SPTA1
NUS1	ACTB
RFC3	RFC5
MUS81	RAD51
TPT1	EEF1A2
MDH2	GPR1
TEP1	SDC1
SPC24	ASPM
TOP1	FH
TAF9	EXO1
TAF9	EXO1
ATG7	FKBP5
VPS25	OXR1
ARL3	RP2
RIC1	OXR1
ARL1	SYT1
GAS1	ALG5
SAP30	LEO1
RBL2	CDK2
CHL1	MRC1
MRC1	MCM7
RAD52	BUB1
HKR1	BUB3
ATG13	MUL1
ATG5	SQSTM1
MCM10	MCM7
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
MSH5	FANCA
TAF11	COG5
VPS36	HERC1
DET1	COPS3
PEF1	HIST2H2AB
TTI2	OSBPL3
CDC123	RSF1
TAF8	DSCC1
SMC5	RMI1
PRM3	MED1
COG4	RBL2
RNF5	ERLIN2
RNF5	ERLIN2
RNF5	ERLIN2
RNF5	ERLIN2
RNF5	ERLIN2
RNF5	ERLIN2
RNF5	ERLIN2
STK19	PRAME
STK19	PRAME
STK19	PRAME
STK19	PRAME
STK19	PRAME
STK19	PRAME
NELFE	DIS3
NELFE	DIS3
NELFE	DIS3
NELFE	DIS3
NELFE	DIS3
NELFE	DIS3
CLIC1	PROSER2
CLIC1	PROSER2
CLIC1	PROSER2
CLIC1	PROSER2
CLIC1	PROSER2
CLIC1	PROSER2
CLIC1	PROSER2
ABHD16A	DTX2
ABHD16A	DTX2
ABHD16A	DTX2
ABHD16A	DTX2
ABHD16A	DTX2
ABHD16A	DTX2
ABHD16A	DTX2
CSNK2B	CEP170
CSNK2B	CEP170
CSNK2B	CEP170
CSNK2B	CEP170
CSNK2B	CEP170
CSNK2B	CEP170
CSNK2B	CEP170
C6orf47	FGFR3
C6orf47	FGFR3
C6orf47	FGFR3
C6orf47	FGFR3
C6orf47	FGFR3
C6orf47	FGFR3
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
ATP6V1G2	ATP6V1E1
GORASP2	FLOT1
KIAA0408	SORBS3
TRIM39	CACTIN
TRIM39	CACTIN
TRIM39	CACTIN
TRIM39	CACTIN
TRIM39	CACTIN
TRIM39	CACTIN
TRIM39	CACTIN
TRAF2	TRADD
FCHSD2	FCHSD2
RHOXF2	ARMCX2
MAGEA11	TRMT1
KRT15	TELO2
CALCOCO2	RAB35
BNIP3L	BNIP3L
KRT81	OTX1
ACTB	ACTG1
EWSR1	PPARGC1A
TRIM29	UBE2C
CLUAP1	IFT46
DVL3	CDC5L
MAGEH1	TRIM41
QPRT	ADNP
DCTD	NGRN
PHLDA1	MDFI
KLHL42	DDI1
MEAF6	USP7
ZSCAN32	HSPA8
RBM10	TBC1D22B
RWDD2B	DENR
SULT1E1	GK
POM121	BRCA1
PLSCR1	LGALS9C
ZBED1	GDAP2
LGALS8	TAX1BP1
DAZAP2	RNF208
TRIM23	SET
CBS	TRAP1
STK24	TLK2
TRIP13	PI4K2B
CEBPG	KLF5
HGS	EPS15
ZNF446	ZNF397
KXD1	ATG3
ATF4	TBC1D25
SAT1	RBM17
MYL6	MYL6B
RIBC2	LRP2
MDFI	HNRNPLL
PRKCI	MARK4
RBPMS	GSTZ1
NEK6	NEK9
YWHAG	MAP3K5
OTX1	RGS20
FXR2	THUMPD3
GYG1	GGT1
GSTM3	ECT2L
PHKB	CORO1C
MVK	TACC3
HMG20A	KDM1A
EXOC7	EXOC8
NME5	DYDC1
DCAF8	CCT7
ARHGEF15	CEP55
ANXA11	CST6
AP1M1	UBA1
ZBTB43	SYT6
LDOC1	ZNF774
CLDN7	SCARB1
BAD	RAF1
HNRNPK	PLCG1
VIM	TCTEX1D2
HOXA1	ZNF703
RAD54B	SUMO1
DVL2	CUL3
CTPS2	CTPS1
BIRC2	UBE2D1
CCNK	CDK12
GADD45A	CDK1
KRT6B	TRIM54
CPSF6	SND1
PRR13	LNX1
PHF10	L3MBTL2
VSNL1	FAM131C
PHPT1	TRAPPC4
MAGEA1	FBXW7
AC074143.1	DAXX
CUTC	CEP76
ZMYND19	ARMC8
NUP62	OGT
FBXW5	SKP1
PHC2	L3MBTL3
MLX	CSNK2B
PRC1	ACSM1
PRTFDC1	TMEM14B
NME1	SREK1IP1
PBX3	FSD2
PIAS2	PIAS1
C19orf57	PPP2R5E
KLHL12	KHSRP
SEPT2	TPM2
APPL1	ZNF830
CRY1	CUL1
HOXB6	CREBBP
WDYHV1	AXIN1
RBM11	ZCCHC8
FOXS1	ACOX1
THAP7	ASH1L
SLC25A6	GAA
EYA2	CCDC85C
NFIC	SMURF1
ZNF250	LTF
CCNH	TBC1D15
STX8	VAMP8
GPSM1	DACH1
HK2	SEPT6
PLOD3	POR
PDCD6	PEF1
TRIM37	CTNNB1
PSME2	PSME2
PIN1	FADD
CYTH3	SYCE1
NINL	DCTN1
FHIT	MTMR6
PDLIM7	MB21D2
KAT7	ING5
BSCL2	POM121
EMC2	EMC6
ABLIM1	CBY1
NFYB	NFYC
BLOC1S6	SYCE3
ZNF165	KRTAP10-3
SGTA	BAG6
MCRS1	BAP1
DHPS	BRCA1
MBIP	OSGEP
ADAMTSL4	KRTAP4-11
RABL6	MDM2
KHDRBS3	PPP1R13B
CEP63	WRAP73
SNRPG	DDX20
ACY1	TRIM33
NT5C2	PTGES3
KRT20	NOTCH2NLA
KRT20	NOTCH2NLA
RTN1	PRXL2A
HNRNPC	RBM41
WWP1	UBE2L3
DFFA	TSPYL4
LMO3	FAM131C
TADA2A	KLHL38
TADA2A	KLHL38
SMARCD1	SELENBP1
HOXA9	TRIP6
PSMA1	PSMA5
SRPK2	AKT1
DNAL4	FHL5
TBC1D5	EIF1AD
GPS2	ACTR1B
RCBTB2	FECH
AP2B1	VAPA
SDCBP2	EIF1AD
SPRY2	CTH
RFX3	PLK1
SQSTM1	TOLLIP
MAD1L1	STK24
TSNAX	PCNT
DDIT3	FANCA
MLLT6	GCC2
MLLT6	GCC2
SEC24C	SH3KBP1
NBR1	MAP3K3
PAFAH1B2	NDEL1
KRT19	CEP57L1
ACTG1	ACTG1
PDE9A	TFAP4
KPNA3	RBBP4
LASP1	SNAI1
CIAO1	MMS19
PAICS	UGP2
XRCC4	KIF3A
PTPN9	TUBA3D
ARMC7	PHB2
AKAP17A	TRPM3
SPG21	AGTRAP
PYROXD1	FDXR
MTUS2	PAK4
HSD17B14	SREK1IP1
SOX30	NUDT3
DYNC1I2	DYNLT1
CNOT2	CNOT1
EMD	SPTA1
MAGEA4	AMOT
UBA2	SAE1
GNAI2	ARL8A
GAD1	FGFR1
ASMTL	KRT40
USP2	MYC
COMT	TMX1
ARRB1	TCOF1
RUNX1T1	HDAC1
CHCHD3	RAB8A
TOLLIP	RNF26
ACCS	ACCS
FAM107A	KRT40
SRSF1	PRPF4B
RCOR3	TRAF2
BEGAIN	ZNF774
ENOX1	TRIM43
XIAP	XIAP
TDO2	ASMTL
TDO2	ASMTL
WBP11	PQBP1
RBMX	FAM120A
UBE2D1	F3
ZBTB16	EZH2
TRAPPC3	RAB3IL1
TSC22D4	CUL1
COX17	SCO1
VCL	UBE2N
APEH	USP39
NUDT18	RAD54B
PNKP	HBA2
S100A1	S100B
PPP2CA	AKT2
RBL1	E2F1
UGP2	KHK
TRIM32	EXOC3
SATB1	CHD3
CNTFR	LIFR
GPRIN2	KRTAP10-3
RAB3IL1	MB21D2
TFF1	ZNF250
TRIM17	SNX2
PSMF1	PSMA1
C1orf94	CARM1
FATE1	SYNGR2
NADK	NAV1
KCTD17	FRMD6
ILF3	ILF2
TNNT1	TPM1
STX11	RCBTB2
PSMC4	INTU
PSMC4	INTU
TCEANC	RNF219
SET	TSPYL2
MOAP1	MYO9B
MOAP1	MYO9B
CBLB	SYK
NCKIPSD	FBXO28
RNF8	UBE2N
RAI1	ZNF496
AP2M1	KBTBD7
APPBP2	PYROXD2
ACTN1	CAMK2A
DACH1	TP53
LRCH4	NOTCH2NLA
SSSCA1	SUPT3H
TRIM27	NDE1
TRIM27	NDE1
TRIM27	NDE1
TRIM27	NDE1
TRIM27	NDE1
TRIM27	NDE1
TRIM27	NDE1
LPXN	MIB1
KRTAP4-12	IGSF8
KRTAP4-12	IGSF8
ARR3	ELP4
SFI1	BUB3
GFAP	HSPA8
PEX5	PEX14
PRPF3	FAU
HSPA2	BAG6
GABRD	RNF115
H3F3B	NASP
PDLIM4	RBPMS
RNF40	TRAIP
FBXL18	FBXL7
DEPP1	TRIM23
HIST1H2BN	BCCIP
SDSL	SDSL
SUFU	GLI1
RABAC1	SYT16
PCM1	CENPJ
BAHD1	LZTS2
ZNF263	PPM1G
HOOK2	ZBTB47
DUT	TYMS
NECAB2	DCAF10
GLRX3	DNAAF1
FOSL1	TRAF3
PIM2	CCDC84
PSME3	TSPYL1
EMILIN1	RPUSD3
WDR6	AMY1C
SF3B4	FRK
RAB33A	CCDC136
SHCBP1	ZUP1
LDB1	LHX8
FKBP6	TBL1X
HPCAL4	FAM131C
NDC80	SPC25
RPIA	PTPN11
PSMC6	INTU
MIF	EGFR
MIF	EGFR
TNFAIP8	PLEKHF2
EHMT2	HIST1H3C
EHMT2	HIST1H3C
EHMT2	HIST1H3C
EHMT2	HIST1H3C
EHMT2	HIST1H3C
EHMT2	HIST1H3C
EHMT2	HIST1H3C
DRAP1	PLEKHF2
SRGN	UBQLN1
XPO6	MLST8
EIF3K	GSN
EIF3K	GSN
STX4	STX7
ASH2L	SETD1B
FANCG	PRKAA1
U2AF2	RPL10A
CYTH2	ADORA2A
CDKN1A	CDK2
BAIAP2	CBY1
IFIT1	IFIT3
AQP1	NOTCH2NLA
ZFP36L1	EXOSC2
UTP14A	RPF2
VTA1	XPNPEP1
KARS	LRRFIP2
SRSF6	PRPF38A
MAPK9	BCL2L1
CCNB1IP1	HIST1H1D
HOXB9	SIRT1
SETD5	KRT40
DEF6	DCAF16
THAP10	TP53BP1
GNMT	PREX2
IGHM	APP
