TRDD2-201	TRDD2
IGHV3-74-202	IGHV3-74
IGKV1D-13-201	IGKV1D-13
IGHV3-49-202	IGHV3-49
IGKV1D-16-201	IGKV1D-16
IGKV3D-7-201	IGKV3D-7
IGHV3-53-202	IGHV3-53
IGHV3-23-202	IGHV3-23
IGKV1D-43-201	IGKV1D-43
IGHV3-20-202	IGHV3-20
IGKV1D-33-201	IGKV1D-33
IGKV1D-33-202	IGKV1D-33
IGLV7-43-202	IGLV7-43
IGLV2-18-201	IGLV2-18
IGHV3OR16-8-201	IGHV3OR16-8
IGHV3OR16-10-201	IGHV3OR16-10
IGLV8-61-201	IGLV8-61
IGHV1-18-202	IGHV1-18
IGKV1OR2-108-201	IGKV1OR2-108
IGLV3-32-201	IGLV3-32
IGLV2-33-201	IGLV2-33
AC242528.2-201	AC242528.1
IGHV3-35-202	IGHV3-35
AC234301.3-201	AC234301.3
IGKV2D-29-201	IGKV2D-29
IGKV2D-29-202	IGKV2D-29
IGHV3-16-202	IGHV3-16
AC245369.2-201	IGHV1-69-2
IGHV1-58-202	IGHV1-58
IGLV2-33-202	IGLV2-33
AC242528.1-201	IGHV1-69D
IGHV3-38-202	IGHV3-38
IGHV3-30-202	IGHV3-30
IGHV2-26-202	IGHV2-26
IGHV3-66-202	IGHV3-66
IGHV1-69-202	IGHV1-69
AC245369.6-201	IGHV2-70D
IGHV4-34-202	IGHV4-34
IGHV1-46-202	IGHV1-46
IGKV1D-39-201	IGKV1D-39
IGKV2-40-201	IGKV2-40
IGKV2-40-202	IGKV2-40
AC009286.3-201	AC009286.3
IGLV3-1-201	IGLV3-1
IGLV3-12-201	IGLV3-12
IGLV2-14-201	IGLV2-14
IGLV3-22-201	IGLV3-22
AC135068.2-201	AC135068.2
IGLV1-44-201	IGLV1-44
IGHV3-43-202	IGHV3-43
IGLV1-40-202	IGLV1-40
IGLV1-40-201	IGLV1-40
IGLV7-43-201	IGLV7-43
IGLV3-27-201	IGLV3-27
IGLV3-21-201	IGLV3-21
IGLV1-36-201	IGLV1-36
IGLV1-51-201	IGLV1-51
IGLV1-50-201	IGLV1-50
IGLV9-49-201	IGLV9-49
IGLV5-48-201	IGLV5-48
IGLV1-47-201	IGLV1-47
IGLV7-46-201	IGLV7-46
IGLV5-45-201	IGLV5-45
IGKV3D-11-201	IGKV3D-11
IGKV1D-12-201	IGKV1D-12
IGHV1OR15-9-201	IGHV1OR15-9
IGLV1-44-202	IGLV1-44
IGLV5-45-202	IGLV5-45
IGLV3-10-201	IGLV3-10
IGHV2OR16-5-201	IGHV2OR16-5
IGLV5-52-201	IGLV5-52
IGLV3-9-201	IGLV3-9
IGLV2-23-201	IGLV2-23
IGHV3-21-202	IGHV3-21
IGHV3-15-202	IGHV3-15
IGLV1-36-202	IGLV1-36
IGLV5-37-202	IGLV5-37
AC247036.5-201	AC247036.4
IGHV4-4-202	IGHV4-4
IGHV4OR15-8-201	IGHV4OR15-8
IGLV10-54-201	IGLV10-54
IGLV10-54-202	IGLV10-54
IGHV3-48-202	IGHV3-48
AC247036.3-201	AC247036.3
IGHV1-2-202	IGHV1-2
IGHV2-70-202	IGHV2-70
IGHV3-64-202	IGHV3-64
IGHV1-45-202	IGHV1-45
IGKV1D-8-202	IGKV1D-8
IGKV2D-26-201	IGKV2D-26
IGHV3-11-202	IGHV3-11
IGHV6-1-202	IGHV6-1
IGKV1-37-201	IGKV1-37
IGHV3-7-202	IGHV3-7
IGHV1-3-202	IGHV1-3
AC135068.8-201	AC135068.8
IGLV5-37-201	IGLV5-37
IGKV2D-24-201	IGKV2D-24
IGKV2D-30-201	IGKV2D-30
IGHV3-13-202	IGHV3-13
IGHV3-73-202	IGHV3-73
IGHV1OR21-1-201	IGHV1OR21-1
IGLV4-3-201	IGLV4-3
IGLV2-8-201	IGLV2-8
IGLV2-11-201	IGLV2-11
IGLV4-69-201	IGLV4-69
IGLV11-55-201	IGLV11-55
IGHV1OR15-1-201	IGHV1OR15-1
IGKV2D-40-201	IGKV2D-40
IGKV2D-40-202	IGKV2D-40
IGLV3-16-201	IGLV3-16
IGLV3-19-201	IGLV3-19
IGLV3-25-201	IGLV3-25
IGLV6-57-201	IGLV6-57
IGLV4-60-201	IGLV4-60
